-2, -1, 5.74
-2, 0, 4.18
-2, 1, 7.27
-2, 2, 5.19
-2, 3, 4.12
-2, 4, 3.02
-2, 5, 7.96
-2, 6, 6.1
-2, 7, 5.7
-2, 8, 9.48
-2, 9, 8.45
-2, 10, 7.08
-2, 11, 2.53
-2, 12, 9.54
-2, 13, 4.52
-2, 14, 4.57
-2, 15, 5.99
-2, 16, 6.21
-2, 17, 9.76
-2, 18, 1.92
-2, 19, 3.0
-2, 20, 9.25
-2, 21, 4.4
-2, 22, 6.03
-2, 23, 9.33
-2, 24, 4.61
-2, 25, 8.15
-2, 26, 7.23
-2, 27, 8.64
-1, 0, 9.9
-1, 1, 8.68
-1, 2, 1.89
-1, 3, 4.56
-1, 4, 9.08
-1, 5, 2.16
-1, 6, 4.06
-1, 7, 9.62
-1, 8, 5.57
-1, 9, 6.76
-1, 10, 9.97
-1, 11, 9.14
-1, 12, 1.69
-1, 13, 6.52
-1, 14, 9.97
-1, 15, 2.33
-1, 16, 8.0
-1, 17, 9.86
-1, 18, 1.0
-1, 19, 2.34
-1, 20, 5.62
-1, 21, 5.68
-1, 22, 3.24
-1, 23, 9.15
-1, 24, 4.92
-1, 25, 1.21
-1, 26, 5.7
-1, 27, 3.64
0, 1, 3.34
0, 2, 2.57
0, 3, 6.3
0, 4, 1.5
0, 5, 3.47
0, 6, 7.32
0, 7, 4.63
0, 8, 3.84
0, 9, 7.57
0, 10, 6.14
0, 11, 7.61
0, 12, 6.51
0, 13, 5.03
0, 14, 9.09
0, 15, 4.98
0, 16, 5.89
0, 17, 9.75
0, 18, 3.9
0, 19, 1.75
0, 20, 5.89
0, 21, 7.76
0, 22, 6.12
0, 23, 1.25
0, 24, 3.34
0, 25, 2.41
0, 26, 7.34
0, 27, 9.11
1, 2, 9.66
1, 3, 9.8
1, 4, 5.72
1, 5, 6.94
1, 6, 6.86
1, 7, 5.73
1, 8, 4.6
1, 9, 3.47
1, 10, 4.58
1, 11, 1.92
1, 12, 5.66
1, 13, 3.16
1, 14, 2.31
1, 15, 9.35
1, 16, 5.71
1, 17, 5.26
1, 18, 3.22
1, 19, 6.4
1, 20, 5.92
1, 21, 5.76
1, 22, 7.07
1, 23, 2.92
1, 24, 6.15
1, 25, 5.94
1, 26, 6.77
1, 27, 3.49
2, 3, 1.64
2, 4, 9.11
2, 5, 5.2
2, 6, 7.09
2, 7, 1.96
2, 8, 4.41
2, 9, 1.44
2, 10, 7.3
2, 11, 8.74
2, 12, 1.97
2, 13, 8.24
2, 14, 7.45
2, 15, 3.51
2, 16, 4.6
2, 17, 5.69
2, 18, 7.4
2, 19, 5.52
2, 20, 7.43
2, 21, 6.96
2, 22, 4.11
2, 23, 1.81
2, 24, 3.9
2, 25, 9.79
2, 26, 6.23
2, 27, 7.28
3, 4, 9.28
3, 5, 7.37
3, 6, 6.42
3, 7, 6.23
3, 8, 6.17
3, 9, 9.23
3, 10, 4.01
3, 11, 2.75
3, 12, 4.38
3, 13, 7.73
3, 14, 7.19
3, 15, 3.7
3, 16, 9.36
3, 17, 1.67
3, 18, 4.89
3, 19, 8.08
3, 20, 2.76
3, 21, 9.28
3, 22, 9.55
3, 23, 2.77
3, 24, 5.63
3, 25, 4.7
3, 26, 3.14
3, 27, 6.63
4, 5, 2.98
4, 6, 2.77
4, 7, 3.51
4, 8, 3.15
4, 9, 3.11
4, 10, 4.87
4, 11, 6.5
4, 12, 7.49
4, 13, 5.48
4, 14, 8.43
4, 15, 4.1
4, 16, 2.46
4, 17, 2.6
4, 18, 9.24
4, 19, 9.8
4, 20, 7.91
4, 21, 9.55
4, 22, 5.93
4, 23, 5.79
4, 24, 9.27
4, 25, 4.24
4, 26, 4.88
4, 27, 9.22
5, 6, 9.1
5, 7, 8.2
5, 8, 3.43
5, 9, 7.81
5, 10, 9.54
5, 11, 3.54
5, 12, 1.11
5, 13, 3.5
5, 14, 6.56
5, 15, 9.94
5, 16, 3.18
5, 17, 7.01
5, 18, 9.47
5, 19, 2.39
5, 20, 3.0
5, 21, 9.6
5, 22, 5.76
5, 23, 5.33
5, 24, 4.27
5, 25, 4.35
5, 26, 6.31
5, 27, 5.54
6, 7, 5.45
6, 8, 5.22
6, 9, 5.61
6, 10, 4.86
6, 11, 3.7
6, 12, 9.31
6, 13, 4.33
6, 14, 4.03
6, 15, 6.66
6, 16, 9.58
6, 17, 8.17
6, 18, 2.21
6, 19, 5.16
6, 20, 8.59
6, 21, 6.33
6, 22, 6.36
6, 23, 5.53
6, 24, 4.12
6, 25, 1.33
6, 26, 9.79
6, 27, 7.1
7, 8, 9.66
7, 9, 7.45
7, 10, 4.46
7, 11, 2.07
7, 12, 7.95
7, 13, 9.82
7, 14, 9.44
7, 15, 3.29
7, 16, 9.92
7, 17, 3.7
7, 18, 7.0
7, 19, 6.28
7, 20, 5.61
7, 21, 3.8
7, 22, 1.66
7, 23, 7.75
7, 24, 1.09
7, 25, 1.18
7, 26, 9.89
7, 27, 4.03
8, 9, 4.73
8, 10, 9.21
8, 11, 2.91
8, 12, 8.56
8, 13, 7.65
8, 14, 9.91
8, 15, 6.35
8, 16, 3.77
8, 17, 7.41
8, 18, 9.56
8, 19, 6.94
8, 20, 9.27
8, 21, 3.05
8, 22, 9.49
8, 23, 5.96
8, 24, 3.66
8, 25, 8.74
8, 26, 9.55
8, 27, 7.09
9, 10, 2.52
9, 11, 7.04
9, 12, 6.82
9, 13, 2.84
9, 14, 6.42
9, 15, 7.41
9, 16, 4.09
9, 17, 8.89
9, 18, 1.77
9, 19, 4.06
9, 20, 1.31
9, 21, 2.67
9, 22, 2.75
9, 23, 7.82
9, 24, 5.23
9, 25, 9.96
9, 26, 8.44
9, 27, 6.47
10, 11, 8.24
10, 12, 3.93
10, 13, 2.31
10, 14, 9.44
10, 15, 9.78
10, 16, 1.95
10, 17, 5.52
10, 18, 3.88
10, 19, 2.2
10, 20, 6.49
10, 21, 8.39
10, 22, 3.81
10, 23, 2.22
10, 24, 6.25
10, 25, 3.89
10, 26, 5.4
10, 27, 1.32
11, 12, 10.0
11, 13, 8.22
11, 14, 1.76
11, 15, 6.51
11, 16, 4.44
11, 17, 5.34
11, 18, 4.99
11, 19, 8.21
11, 20, 6.44
11, 21, 9.99
11, 22, 8.31
11, 23, 4.71
11, 24, 3.7
11, 25, 1.14
11, 26, 2.62
11, 27, 3.6
12, 13, 9.21
12, 14, 2.12
12, 15, 2.8
12, 16, 3.01
12, 17, 8.75
12, 18, 8.06
12, 19, 1.33
12, 20, 2.45
12, 21, 4.04
12, 22, 1.74
12, 23, 5.18
12, 24, 9.38
12, 25, 8.38
12, 26, 9.73
12, 27, 4.09
13, 14, 6.53
13, 15, 5.43
13, 16, 2.4
13, 17, 1.54
13, 18, 1.27
13, 19, 6.1
13, 20, 9.83
13, 21, 2.01
13, 22, 4.31
13, 23, 7.84
13, 24, 4.65
13, 25, 7.2
13, 26, 8.8
13, 27, 9.25
14, 15, 4.36
14, 16, 5.56
14, 17, 5.07
14, 18, 2.41
14, 19, 2.51
14, 20, 4.73
14, 21, 8.09
14, 22, 2.17
14, 23, 7.99
14, 24, 2.75
14, 25, 4.99
14, 26, 1.87
14, 27, 9.5
15, 16, 2.53
15, 17, 8.66
15, 18, 3.59
15, 19, 4.24
15, 20, 1.99
15, 21, 5.36
15, 22, 8.53
15, 23, 9.46
15, 24, 4.83
15, 25, 1.97
15, 26, 2.51
15, 27, 6.43
16, 17, 8.78
16, 18, 7.53
16, 19, 4.44
16, 20, 5.31
16, 21, 7.77
16, 22, 3.77
16, 23, 3.48
16, 24, 7.61
16, 25, 1.64
16, 26, 3.62
16, 27, 3.23
17, 18, 9.77
17, 19, 6.16
17, 20, 6.13
17, 21, 9.26
17, 22, 2.06
17, 23, 1.5
17, 24, 4.15
17, 25, 2.08
17, 26, 8.67
17, 27, 1.71
18, 19, 5.8
18, 20, 5.31
18, 21, 4.78
18, 22, 8.08
18, 23, 1.29
18, 24, 3.15
18, 25, 1.81
18, 26, 2.52
18, 27, 8.99
19, 20, 9.81
19, 21, 7.49
19, 22, 7.29
19, 23, 7.25
19, 24, 1.39
19, 25, 9.14
19, 26, 6.68
19, 27, 5.67
20, 21, 2.86
20, 22, 9.05
20, 23, 3.97
20, 24, 9.63
20, 25, 2.35
20, 26, 8.27
20, 27, 8.19
21, 22, 3.16
21, 23, 6.12
21, 24, 8.57
21, 25, 7.23
21, 26, 9.92
21, 27, 4.57
22, 23, 1.72
22, 24, 5.71
22, 25, 1.66
22, 26, 2.81
22, 27, 9.07
23, 24, 8.28
23, 25, 5.35
23, 26, 4.68
23, 27, 8.53
24, 25, 8.38
24, 26, 9.95
24, 27, 2.1
25, 26, 3.07
25, 27, 3.86
26, 27, 5.21
